aX,aY,aZ,gX,gY,gZ
0.239,0.159,-0.845,52.124,48.035,27.344
0.233,0.166,-0.837,51.819,47.485,26.489
-0.602,0.891,-0.581,13.489,23.071,4.333
-0.624,0.912,-0.596,10.864,17.395,1.038
-0.657,0.944,-0.607,8.179,11.169,-2.625
-0.694,0.97,-0.627,4.822,4.822,-7.263
-0.731,1.01,-0.645,0.488,-1.892,-13
-0.778,1.062,-0.686,-4.822,-10.071,-20.325
-0.827,1.111,-0.729,-11.047,-20.325,-29.175
-0.859,1.17,-0.762,-20.02,-30.273,-39.185
-0.884,1.23,-0.792,-31.006,-38.086,-50.293
-0.912,1.283,-0.848,-44.067,-45.166,-62.622
-0.925,1.354,-0.922,-59.204,-54.138,-76.843
-0.951,1.453,-1.006,-77.515,-66.833,-95.032
-0.967,1.567,-1.094,-98.938,-81.97,-119.568
-0.955,1.671,-1.212,-124.268,-96.436,-145.996
-0.925,1.752,-1.338,-152.954,-111.633,-169.25
-0.864,1.825,-1.445,-183.228,-129.028,-185.974
-0.815,1.879,-1.558,-209.656,-151.184,-195.312
-0.809,1.909,-1.676,-227.539,-181.519,-194.275
-0.837,1.848,-1.771,-232.605,-218.994,-183.716
-0.83,1.717,-1.839,-228.149,-253.479,-168.152
-0.785,1.58,-1.909,-222.9,-278.015,-151.184
-0.814,1.465,-1.955,-218.079,-294.678,-135.315
-0.882,1.352,-1.995,-209.9,-303.101,-123.779
-0.981,1.229,-1.986,-198.486,-303.528,-117.615
-1.096,1.122,-1.903,-185.547,-293.274,-118.652
-1.21,1.024,-1.707,-175.903,-270.203,-126.16
-1.226,0.895,-1.415,-169.861,-232.483,-138.062
-1.182,0.791,-1.044,-165.955,-188.171,-152.893
-1.056,0.718,-0.595,-163.635,-146.545,-168.945
-0.848,0.675,-0.183,-165.1,-111.145,-180.603
-0.618,0.65,0.129,-168.03,-88.623,-183.533
-0.463,0.694,0.347,-165.894,-83.008,-177.979
-0.394,0.725,0.533,-156.311,-90.576,-166.199
-0.313,0.671,0.662,-140.93,-99.182,-150.818
-0.228,0.531,0.746,-127.869,-104.919,-133.179
-0.161,0.377,0.769,-121.277,-108.398,-116.089
-0.092,0.234,0.707,-117.371,-106.75,-104.736
-0.039,0.101,0.608,-115.967,-98.083,-100.647
0.026,0.006,0.542,-120.056,-81.421,-97.412
0.124,-0.061,0.518,-126.038,-58.594,-91.003
0.248,-0.155,0.557,-130.005,-36.621,-82.703
0.413,-0.21,0.602,-131.531,-18.738,-73.853
0.568,-0.223,0.631,-132.69,-8.362,-62.195
0.678,-0.232,0.606,-132.751,-7.324,-46.204
0.709,-0.283,0.535,-127.441,-12.878,-26.978
0.722,-0.373,0.487,-117.554,-19.409,-6.958
0.744,-0.472,0.433,-108.582,-23.254,8.301
0.749,-0.571,0.327,-103.027,-26.794,16.418
0.753,-0.65,0.233,-98.083,-31.311,17.883
0.737,-0.709,0.156,-92.102,-34.363,15.137
0.731,-0.744,0.056,-87.341,-34.973,15.076
0.764,-0.775,-0.058,-82.947,-34.485,18.25
0.795,-0.772,-0.212,-76.416,-36.865,22.827
0.813,-0.769,-0.372,-66.345,-43.274,27.954
0.846,-0.804,-0.53,-54.016,-51.453,32.654
0.863,-0.836,-0.659,-42.664,-58.472,37.231
0.856,-0.857,-0.767,-33.264,-62.195,40.283
0.843,-0.866,-0.86,-26.489,-61.462,41.077
0.849,-0.864,-0.947,-21.912,-57.007,39.795
0.846,-0.837,-1.042,-18.433,-52.063,36.987
0.834,-0.799,-1.107,-12.512,-48.584,31.372
0.813,-0.753,-1.154,-5.676,-44.678,22.278
0.79,-0.693,-1.185,0.122,-38.269,12.756
0.779,-0.622,-1.16,4.272,-29.968,5.127
0.787,-0.554,-1.115,6.47,-20.63,-0.244
0.798,-0.49,-1.071,8.423,-13.55,-3.723
0.782,-0.39,-1.048,13.306,-6.226,-4.395
0.793,-0.31,-1.03,20.142,1.709,-3.479
0.828,-0.273,-0.966,22.827,7.202,-2.502
0.861,-0.23,-0.864,22.644,4.822,-3.845
0.816,-0.131,-0.784,25.757,1.282,-0.488
0.813,-0.07,-0.755,33.508,5.615,5.493
0.858,-0.081,-0.747,38.574,10.986,8.972
0.801,-0.07,-0.723,38.208,8.911,13.123
0.752,-0.073,-0.711,36.682,8.362,15.381
0.751,-0.094,-0.703,34.546,11.475,13
0.746,-0.098,-0.681,29.114,13.184,9.033
0.758,-0.069,-0.682,21.301,14.771,4.761
0.772,-0.023,-0.693,15.076,16.479,1.465
0.787,0.01,-0.713,12.268,17.456,-0.549
0.787,0.035,-0.726,12.268,16.785,-0.305
0.784,0.049,-0.733,13.184,15.503,2.38
0.771,0.048,-0.754,13.306,14.099,7.935
0.758,0.031,-0.78,15.076,12.146,14.343
0.747,-0.002,-0.808,18.86,9.888,19.226
0.729,-0.049,-0.834,22.583,8.301,23.315
0.714,-0.087,-0.861,23.987,8.362,26.001
0.691,-0.11,-0.883,23.315,10.254,26.978
0.674,-0.129,-0.881,21.973,14.343,26.184
0.676,-0.144,-0.862,20.203,20.203,24.231
0.683,-0.151,-0.837,17.883,26.184,21.545
0.684,-0.147,-0.812,15.503,31.128,18.921
0.684,-0.14,-0.806,13.794,34.546,16.479
0.688,-0.133,-0.803,13.428,36.316,13.977
0.689,-0.131,-0.804,14.16,37.048,11.169
0.68,-0.127,-0.805,14.954,37.598,9.216
0.673,-0.118,-0.797,15.686,38.696,8.484
0.673,-0.112,-0.792,17.09,40.71,8.728
0.672,-0.108,-0.789,19.653,43.03,10.193
0.679,-0.109,-0.781,23.01,44.128,12.39
0.679,-0.11,-0.774,26.123,43.884,15.686
0.68,-0.108,-0.755,27.893,42.419,18.921
0.661,-0.108,-0.747,28.564,40.344,22.156
0.63,-0.117,-0.74,28.992,38.33,23.376
0.609,-0.143,-0.726,30.029,37.842,20.874
0.593,-0.158,-0.714,30.396,37.598,18.005
0.58,-0.169,-0.72,29.602,37.231,15.442
0.564,-0.161,-0.738,28.503,36.499,12.207
0.542,-0.141,-0.761,28.259,35.278,7.568
0.529,-0.112,-0.792,27.344,35.4,4.028
0.514,-0.077,-0.817,25.757,36.621,2.747
0.511,-0.048,-0.825,25.879,38.391,3.296
0.509,-0.033,-0.83,28.32,40.71,4.7
0.501,-0.027,-0.811,31.433,42.603,6.958
0.499,-0.027,-0.794,33.63,44.617,9.827
0.491,-0.022,-0.773,35.034,46.387,12.024
0.487,-0.021,-0.746,36.194,46.875,12.634
0.49,-0.011,-0.738,36.56,46.204,12.573
0.493,0,-0.736,36.56,44.25,12.085
-0.495,1.115,-0.66,-10.681,-28.625,-12.329
-0.492,1.263,-0.702,-19.897,-30.762,-19.226
-0.472,1.401,-0.78,-28.442,-37.231,-25.757
-0.495,1.592,-0.922,-38.33,-49.622,-31.738
-0.591,1.765,-1.051,-47.241,-66.528,-37.72
-0.66,1.881,-1.149,-54.016,-81.726,-43.274
-0.724,1.932,-1.236,-59.753,-94.482,-49.011
-0.77,1.921,-1.338,-68.665,-107.3,-57.068
-0.853,1.934,-1.498,-86.426,-118.591,-68.176
-0.885,1.918,-1.689,-106.567,-126.221,-86.243
-0.986,1.99,-1.717,-124.878,-126.953,-113.77
-0.962,1.893,-1.62,-142.029,-131.47,-139.465
-0.829,1.797,-1.475,-156.982,-137.573,-158.936
-0.645,1.678,-1.34,-171.692,-150.33,-177.246
-0.531,1.572,-1.324,-183.655,-169.8,-197.144
-0.49,1.486,-1.383,-189.88,-191.04,-215.393
-0.473,1.47,-1.485,-198.853,-201.477,-233.215
-0.434,1.477,-1.577,-213.501,-195.557,-246.887
-0.401,1.499,-1.579,-226.013,-179.687,-250.793
-0.354,1.518,-1.461,-233.154,-161.316,-240.417
-0.366,1.506,-1.279,-236.023,-147.156,-209.839
-0.436,1.443,-1.051,-229.309,-142.151,-166.138
-0.571,1.27,-0.771,-214.172,-146.484,-124.207
-0.762,0.958,-0.529,-192.017,-160.156,-91.003
-1.01,0.65,-0.329,-171.143,-175.171,-69.153
-1.19,0.386,-0.115,-160.095,-179.016,-63.721
-1.243,0.227,0.051,-157.043,-172.852,-72.998
-1.313,0.18,0.253,-155.029,-164.856,-90.393
-1.273,0.155,0.535,-152.161,-154.419,-107.483
-1.099,0.162,0.767,-152.954,-142.09,-115.967
-0.866,0.146,0.898,-154.48,-136.414,-112.793
-0.648,0.099,0.961,-153.687,-139.771,-101.135
-0.442,-0.041,1.009,-151.184,-146.484,-83.374
-0.255,-0.305,1.081,-143.311,-152.039,-66.223
-0.076,-0.479,1.023,-136.047,-155.945,-57.8
0.095,-0.599,0.869,-135.315,-156.921,-57.556
0.297,-0.689,0.7,-134.155,-150.269,-61.035
0.52,-0.746,0.51,-133.606,-135.193,-65.002
0.719,-0.724,0.333,-134.583,-117.676,-67.749
0.91,-0.665,0.105,-135.254,-100.22,-66.467
1.027,-0.645,-0.069,-127.869,-86.609,-59.448
1.05,-0.685,-0.114,-110.413,-78.43,-49.561
1.047,-0.74,-0.111,-94.971,-71.838,-38.635
1.051,-0.732,-0.172,-84.839,-63.782,-27.344
1.025,-0.758,-0.256,-73.914,-59.204,-18.921
1.011,-0.746,-0.404,-62.439,-55.054,-14.832
0.972,-0.683,-0.544,-54.688,-48.462,-11.963
0.957,-0.621,-0.622,-46.143,-38.757,-8.606
0.934,-0.61,-0.594,-35.095,-28.809,-3.54
0.938,-0.598,-0.538,-24.719,-20.203,1.587
0.943,-0.533,-0.562,-19.287,-14.526,6.348
0.921,-0.436,-0.641,-13.123,-13.611,9.216
0.88,-0.365,-0.7,-5.127,-14.038,10.254
0.869,-0.3,-0.733,0.671,-11.292,10.742
0.901,-0.25,-0.746,4.7,-6.47,11.536
0.957,-0.196,-0.769,7.935,-2.075,11.108
0.98,-0.1,-0.83,9.705,0.183,10.803
0.959,-0.012,-0.854,11.902,1.038,13.428
0.93,-0.002,-0.867,13.855,4.578,15.32
0.928,-0.039,-0.8,14.038,8.057,14.526
0.893,0.017,-0.769,11.536,8.606,17.761
0.869,0.073,-0.77,8.484,9.705,22.156
0.863,0.088,-0.783,5.554,10.193,23.01
0.779,0.091,-0.788,3.235,6.836,22.522
0.709,0.078,-0.795,2.808,6.104,22.156
0.688,0.036,-0.795,2.136,9.338,20.142
0.67,-0.001,-0.78,-1.221,11.78,17.761
0.648,-0.022,-0.756,-3.296,13.855,15.686
0.657,-0.054,-0.735,-3.906,16.724,13.977
0.671,-0.073,-0.711,-4.761,18.127,14.099
0.684,-0.074,-0.706,-5.92,16.541,15.32
0.682,-0.073,-0.727,-5.859,12.085,15.442
0.672,-0.086,-0.743,-3.54,7.385,15.686
0.663,-0.107,-0.745,-1.709,4.883,16.785
0.665,-0.121,-0.734,-1.648,4.517,18.311
0.674,-0.13,-0.728,-1.648,5.554,19.226
0.702,-0.134,-0.733,-0.427,6.653,18.738
0.715,-0.126,-0.731,2.441,6.409,16.724
0.72,-0.114,-0.727,5.371,6.104,13.733
0.715,-0.102,-0.719,6.409,5.615,11.169
0.716,-0.077,-0.727,5.981,5.737,10.315
0.721,-0.062,-0.736,5.371,6.165,10.681
0.735,-0.062,-0.735,5.92,6.653,11.353
0.735,-0.068,-0.725,6.409,6.653,12.451
0.725,-0.076,-0.736,6.042,6.714,13.855
0.72,-0.076,-0.746,6.287,7.263,14.954
0.725,-0.072,-0.755,6.287,9.094,15.686
0.724,-0.049,-0.766,4.761,11.292,16.541
0.726,-0.035,-0.766,3.967,13.367,17.029
0.731,-0.028,-0.747,4.7,14.832,17.09
0.748,-0.033,-0.729,5.249,15.198,16.724
0.753,-0.042,-0.703,5.859,13.611,15.564
0.732,-0.048,-0.686,7.263,9.888,13.489
0.734,-0.049,-0.692,8.911,7.324,11.23
0.726,-0.045,-0.705,9.399,6.409,9.644
0.739,-0.045,-0.707,8.423,5.432,7.568
0.729,-0.018,-0.722,7.629,6.042,9.46
0.754,-0.016,-0.741,7.263,9.766,11.963
0.759,-0.021,-0.753,6.592,11.597,13.977
0.737,-0.031,-0.755,7.385,12.268,15.503
0.731,-0.054,-0.741,9.033,15.198,16.846
0.737,-0.07,-0.727,8.789,18.066,17.395
0.729,-0.068,-0.72,7.324,18.677,17.578
0.717,-0.058,-0.719,7.324,19.043,17.151
0.721,-0.061,-0.728,9.216,19.409,16.418
0.718,-0.05,-0.736,11.597,19.653,15.747
0.706,-0.045,-0.741,13.977,19.409,14.648
0.698,-0.038,-0.742,15.137,20.142,14.282
0.69,-0.033,-0.724,15.625,20.935,14.465
0.686,-0.032,-0.711,15.015,22.644,15.076
0.682,-0.019,-0.716,13.367,24.048,16.479
0.688,-0.005,-0.72,12.695,24.658,18.005
0.688,0.001,-0.726,13.123,24.231,19.348
0.679,0.012,-0.731,14.954,22.4,20.081
0.67,0.011,-0.73,16.724,19.653,19.897
0.654,0.013,-0.735,17.822,16.968,19.165
0.648,0.021,-0.745,17.761,15.686,18.188
0.646,0.031,-0.759,17.334,15.381,17.029
0.644,0.041,-0.766,16.846,15.381,16.174
-0.48,1.175,-0.653,5.859,11.841,22.095
-0.557,1.267,-0.722,2.625,2.136,20.813
-0.708,1.398,-0.82,-3.235,-8.301,16.907
-0.812,1.513,-0.976,-11.292,-17.273,7.568
-0.907,1.658,-1.124,-23.254,-33.02,-7.629
-1.031,1.852,-1.316,-39.734,-57.8,-30.029
-1.179,2.055,-1.576,-56.519,-89.294,-56.152
-1.321,2.233,-1.846,-68.481,-124.634,-83.252
-1.394,2.337,-2.09,-79.041,-156.006,-111.023
-1.421,2.395,-2.275,-93.811,-178.955,-134.521
-1.377,2.395,-2.384,-112.366,-190.43,-152.222
-1.33,2.332,-2.356,-130.737,-194.58,-165.527
-1.283,2.196,-2.154,-146.179,-194.641,-176.392
-1.232,2.054,-1.854,-162.537,-190.063,-185.486
-1.164,1.925,-1.519,-182.8,-185.181,-194.58
-1.116,1.789,-1.174,-200.806,-185.73,-204.59
-1.086,1.711,-0.925,-213.989,-192.322,-213.562
-1.094,1.648,-0.776,-224.915,-204.224,-219.36
-1.084,1.63,-0.676,-230.774,-211.609,-221.252
-1.082,1.609,-0.545,-231.812,-208.618,-219.482
-1.089,1.529,-0.292,-229.187,-195.251,-209.595
-1.049,1.356,0.061,-221.497,-176.758,-186.401
-1.037,1.104,0.414,-208.313,-166.382,-151.611
-1.02,0.775,0.655,-189.88,-167.786,-115.112
-1.007,0.343,0.85,-170.959,-174.744,-81.665
-0.994,-0.13,1.11,-150.452,-176.88,-61.035
-0.907,-0.521,1.388,-135.864,-169.556,-59.082
-0.692,-0.746,1.546,-136.78,-154.541,-69.092
-0.381,-0.841,1.517,-144.897,-144.165,-82.825
-0.058,-0.819,1.309,-147.766,-145.02,-95.459
0.207,-0.732,0.988,-146.79,-151.55,-101.99
0.441,-0.678,0.665,-143.433,-153.259,-97.046
0.589,-0.645,0.381,-134.644,-148.743,-81.787
0.685,-0.651,0.148,-120.605,-140.991,-61.584
0.744,-0.698,-0.013,-105.408,-130.005,-39.734
0.793,-0.783,-0.117,-90.637,-116.272,-19.775
0.834,-0.866,-0.176,-78.43,-99.792,-5.676
