aX,aY,aZ,gX,gY,gZ
-0.682,-1.259,0.172,20.63,-2.686,-20.508
-0.776,-1.301,0.145,24.78,-3.601,-20.935
-0.906,-1.381,0.111,30.212,-5.127,-21.118
-1.057,-1.471,0.072,37.292,-7.629,-22.278
-1.24,-1.55,0.026,45.044,-9.216,-24.902
-1.423,-1.618,-0.026,51.208,-8.057,-28.442
-1.551,-1.635,-0.101,53.772,-3.601,-31.982
-1.596,-1.62,-0.174,53.04,4.456,-34.973
-1.608,-1.593,-0.216,50.781,14.832,-37.048
-1.599,-1.518,-0.235,48.096,24.231,-37.842
-1.584,-1.402,-0.238,46.509,29.968,-41.199
-1.594,-1.257,-0.234,51.086,29.358,-47.668
-1.599,-1.072,-0.255,61.218,24.536,-54.626
-1.567,-0.817,-0.307,74.951,19.287,-60.181
-1.441,-0.621,-0.285,93.201,16.357,-64.88
-1.208,-0.455,-0.278,108.093,15.442,-70.496
-0.892,-0.226,-0.296,113.708,10.071,-76.66
-0.511,-0.005,-0.265,105.713,-3.235,-74.402
-0.109,0.231,-0.245,83.069,-27.283,-59.57
0.283,0.447,-0.247,49.927,-57.861,-29.663
0.732,0.603,-0.243,13.062,-83.496,15.381
1.165,0.705,-0.304,-25.574,-91.309,76.05
1.616,0.668,-0.392,-68.176,-69.214,149.475
2.306,0.375,-0.321,-118.225,-9.521,225.708
3.318,-0.025,0.099,-184.143,75.989,280.457
4,-0.367,0.662,-245.361,151.672,280.273
4,-0.89,1.292,-282.104,190.979,240.417
4,-1.626,1.945,-300.964,207.52,195.007
3.164,-2.188,2.689,-306.763,206.299,166.748
1.869,-2.698,3.404,-286.133,196.716,143.616
1.273,-3.026,3.509,-203.186,188.11,116.15
1.302,-2.564,3.357,-74.28,144.836,44.128
1.613,-1.58,2.766,31.616,86.365,-64.453
1.424,-0.403,1.922,91.431,2.686,-144.836
0.679,0.623,0.895,119.812,-96.252,-179.199
-0.127,1.127,-0.068,151.55,-180.115,-170.41
-0.696,1.208,-0.785,187.927,-233.765,-116.15
-0.854,0.755,-1.222,206.238,-243.225,-32.043
-0.642,0.254,-1.447,190.491,-214.661,44.006
-0.328,-0.135,-1.528,143.677,-169.189,95.52
-0.08,-0.506,-1.412,79.773,-124.268,116.638
0.146,-0.766,-1.136,10.376,-85.449,115.295
0.267,-0.912,-0.787,-50.842,-49.561,98.206
0.272,-0.945,-0.386,-92.896,-13.062,70.251
0.248,-0.826,-0.013,-112.061,21.179,37.781
0.213,-0.682,0.257,-109.192,60.059,12.268
0.216,-0.608,0.458,-84.29,98.694,-3.906
0.256,-0.551,0.622,-52.246,112.61,-15.686
0.27,-0.516,0.705,-24.719,102.417,-15.503
0.296,-0.568,0.681,-2.38,73.547,0.061
0.251,-0.642,0.595,17.029,28.625,17.456
0.211,-0.769,0.456,31.677,-14.954,30.823
0.205,-0.884,0.314,40.344,-44.434,36.987
0.17,-0.962,0.179,43.884,-62.256,40.833
0.171,-1.022,0.051,44.922,-64.514,41.077
0.205,-1.062,-0.023,44.373,-56.213,38.33
0.226,-1.095,-0.06,38.33,-44.067,34.973
0.228,-1.132,-0.07,29.358,-29.175,28.137
0.229,-1.145,-0.045,17.822,-14.282,18.921
0.247,-1.127,0.014,3.052,-3.296,9.766
0.268,-1.094,0.101,-12.024,3.174,3.418
0.272,-1.056,0.183,-22.095,6.592,-0.061
0.272,-1.036,0.249,-26.672,8.301,-0.488
0.279,-1.021,0.307,-28.503,9.094,0.732
0.296,-1.021,0.363,-27.283,8.545,2.869
0.309,-1.021,0.4,-23.621,7.935,4.761
0.322,-1.021,0.426,-17.578,8.301,6.348
0.349,-1.03,0.453,-10.132,8.911,7.019
0.366,-1.048,0.47,-3.296,8.972,6.958
0.406,-1.053,0.461,2.991,7.08,3.418
0.437,-1.042,0.452,6.958,0.122,-1.892
0.446,-1.036,0.429,9.521,-6.348,-4.944
0.411,-1.019,0.389,12.146,-12.634,-6.714
0.362,-1.023,0.356,14.282,-16.724,-8.118
0.332,-1.029,0.33,13.672,-18.799,-9.46
0.298,-1.011,0.296,9.46,-19.897,-10.742
0.262,-0.988,0.266,4.517,-20.203,-11.292
0.233,-0.969,0.259,1.648,-19.47,-12.085
0.22,-0.941,0.25,0.549,-17.7,-12.939
0.223,-0.925,0.26,-0.549,-15.32,-12.146
0.22,-0.894,0.259,-2.747,-14.343,-10.681
0.226,-0.877,0.263,-3.845,-12.085,-7.385
0.252,-0.916,0.305,-2.93,-8.972,-4.7
0.272,-0.934,0.336,-1.221,-6.287,-5.554
0.282,-0.94,0.367,1.038,-4.395,-8.545
0.27,-0.905,0.364,1.709,-6.47,-13.55
0.256,-0.86,0.33,4.7,-9.827,-17.822
0.233,-0.861,0.315,9.521,-11.597,-17.212
0.221,-0.877,0.316,12.939,-11.597,-14.282
0.237,-0.887,0.321,13.55,-10.803,-12.451
0.266,-0.89,0.307,11.108,-10.254,-11.841
0.265,-0.885,0.303,7.996,-10.803,-10.742
0.252,-0.885,0.306,4.7,-11.597,-10.193
0.222,-0.891,0.302,1.709,-11.719,-10.498
0.222,-0.894,0.329,-0.793,-10.315,-10.742
0.251,-0.863,0.349,-1.892,-8.057,-12.39
0.284,-0.807,0.335,-0.183,-7.629,-13.672
0.311,-0.784,0.316,6.165,-6.836,-11.353
0.299,-0.822,0.317,17.212,-5.859,-7.385
0.265,-0.852,0.299,25.94,-5.249,-5.371
0.239,-0.872,0.272,29.663,-3.784,-5.127
0.213,-0.884,0.225,30.579,-2.136,-5.615
0.207,-0.892,0.184,28.931,0.793,-5.249
0.232,-0.931,0.168,24.353,4.089,-5.859
0.252,-0.95,0.151,17.029,6.531,-9.827
0.259,-0.951,0.16,8.972,8.606,-16.052
0.256,-0.94,0.195,0.427,9.216,-22.888
0.245,-0.915,0.241,-5.737,7.996,-28.381
0.194,-0.882,0.261,-8.423,4.822,-30.823
0.146,-0.853,0.271,-8.545,-0.549,-29.358
0.124,-0.843,0.276,-7.446,-5.127,-25.513
0.113,-0.82,0.262,-6.104,-9.46,-21.423
0.107,-0.78,0.222,-4.578,-12.817,-16.724
0.111,-0.775,0.2,-0.916,-12.39,-11.414
0.126,-0.823,0.191,3.601,-9.46,-8.118
0.135,-0.883,0.194,6.287,-5.615,-7.324
0.139,-0.938,0.214,4.333,-2.686,-8.667
0.122,-0.966,0.237,-2.869,-2.93,-13.062
0.099,-0.944,0.244,-11.658,-5.127,-16.602
-0.49,-1.454,0.248,15.442,-7.69,-12.451
-0.598,-1.522,0.232,20.02,-11.658,-15.747
-0.715,-1.611,0.204,25.757,-16.602,-18.921
-0.85,-1.708,0.144,33.936,-21.484,-21.423
-0.998,-1.776,0.044,43.884,-25.146,-24.963
-1.175,-1.822,-0.073,53.04,-25.696,-31.677
-1.346,-1.873,-0.167,59.082,-21.301,-40.283
-1.49,-1.889,-0.27,63.293,-11.719,-49.927
-1.589,-1.875,-0.38,68.237,0.427,-58.105
-1.646,-1.845,-0.472,74.341,14.099,-63.721
-1.723,-1.82,-0.516,76.05,28.259,-67.383
-1.836,-1.739,-0.493,66.406,40.71,-71.777
-1.951,-1.569,-0.414,46.814,48.889,-79.468
-2.072,-1.337,-0.341,29.907,53.284,-90.759
-2.141,-1.041,-0.269,25.696,56.152,-102.783
-2.117,-0.719,-0.23,33.142,57.739,-112.366
